date;species;X;Y;n
2010-08-10;Merlangius merlangus;34233.00170560868;407339.91905991227;7
2010-08-10;Merlangius merlangus;36237.41938039496;408299.48207073734;2
2010-08-11;Merlangius merlangus;30258.300251962515;417892.0890023899;7
2010-08-11;Merlangius merlangus;34045.29468183486;425493.43594306597;22
2010-08-11;Merlangius merlangus;36214.2853082935;419328.15320695477;6
2010-08-11;Merlangius merlangus;37350.85033310363;427785.3835865442;26
2010-08-11;Merlangius merlangus;37788.86358315758;425193.0868640971;10
2010-08-12;Merlangius merlangus;32942.6111165912;419868.4694091597;1
2010-08-12;Merlangius merlangus;33299.399571436545;422105.7834098253;1
2010-08-12;Merlangius merlangus;34947.78502611151;423994.84912592213;9
2010-08-13;Merlangius merlangus;22203.88196608366;413312.40430169814;5
2010-08-13;Merlangius merlangus;23197.69553707732;414466.08638158394;13
2010-08-13;Merlangius merlangus;26459.848485127048;410650.85653494357;1
2010-08-13;Merlangius merlangus;27803.865978448084;410296.17831222445;10
2010-08-18;Merlangius merlangus;21080.52248661124;402632.4830486356;3
2010-08-18;Merlangius merlangus;25282.649642293894;406618.55677404226;9
2010-08-18;Merlangius merlangus;28109.975066850486;407281.15205104457;11
2011-05-16;Merlangius merlangus;56138.366171267204;429552.9804697025;1
2011-05-16;Merlangius merlangus;57869.949464197605;430166.7740911399;2
2011-05-16;Merlangius merlangus;59858.373246705436;433875.4704368344;1
2011-05-17;Merlangius merlangus;47082.290496411966;438164.5045789467;6
2011-05-17;Merlangius merlangus;50278.45830797107;437303.0371364793;14
2011-05-17;Merlangius merlangus;50381.582484500264;439105.9728227664;46
2011-05-17;Merlangius merlangus;53356.53695578764;436034.2827628507;23
2011-05-17;Merlangius merlangus;54799.06074467617;430307.38923581;4
2011-05-17;Merlangius merlangus;56973.098314341434;433391.4336637604;14
2011-05-18;Merlangius merlangus;51017.59575723253;432299.71233139205;16
2011-05-18;Merlangius merlangus;52712.206643248166;432632.0444982514;24
2011-05-18;Merlangius merlangus;53313.55813960472;429848.7848470591;12
2011-05-18;Merlangius merlangus;53345.82585101813;435032.92608498386;18
2011-05-18;Merlangius merlangus;55016.501192176365;433361.1432708973;18
2011-05-18;Merlangius merlangus;55110.19906081879;434570.0507956547;27
2011-05-18;Merlangius merlangus;55119.7831135357;428937.75225558033;3
2011-05-19;Merlangius merlangus;42256.81909036692;427697.1122585032;1
2011-05-19;Merlangius merlangus;44561.89649127892;429312.9232084906;4
2011-05-19;Merlangius merlangus;46689.176776547465;427044.0410583469;8
2011-05-19;Merlangius merlangus;46752.004430070985;431227.1552975242;13
2011-05-19;Merlangius merlangus;47136.904565805904;429356.98397410515;5
2011-05-19;Merlangius merlangus;48325.036886871036;427821.3658370899;18
2011-05-30;Merlangius merlangus;17118.523526953766;408527.1785315143;5
2011-05-30;Merlangius merlangus;18216.0042499282;406306.74774906266;6
2011-05-30;Merlangius merlangus;19297.157223733113;405270.2093061134;16
2011-05-30;Merlangius merlangus;19935.82809790183;402236.70228382235;20
2011-05-30;Merlangius merlangus;21746.785013552086;412873.7075168008;19
2011-05-30;Merlangius merlangus;22744.97508794951;414344.4060231374;3
2011-05-30;Merlangius merlangus;23923.844648030237;415315.2727261021;16
2011-05-31;Merlangius merlangus;26674.554887503153;409788.36664662824;28
2011-05-31;Merlangius merlangus;30387.66503551729;416671.2735530871;6
2011-05-31;Merlangius merlangus;37805.791795122655;425179.33595483465;20
2011-06-01;Merlangius merlangus;25279.310572286573;410360.5881356065;14
2011-06-01;Merlangius merlangus;30251.283642139082;417887.8112399035;8
2011-06-01;Merlangius merlangus;35334.40942921926;422755.7935691385;16
2011-06-01;Merlangius merlangus;35366.15117802695;421538.5753308036;5
2011-06-01;Merlangius merlangus;36981.323815323645;407221.378772023;1
2011-06-01;Merlangius merlangus;42320.646206615944;424368.06034653226;6
2011-06-14;Merlangius merlangus;26123.254356279343;402108.2586335914;5
2011-06-14;Merlangius merlangus;28129.99731301125;407306.24664940994;3
2011-06-14;Merlangius merlangus;35143.29124151106;425793.17269766936;3
2011-06-14;Merlangius merlangus;35897.754201975535;424530.911223373;3
2011-06-14;Merlangius merlangus;36251.23171356843;408298.04352513986;1
2011-06-14;Merlangius merlangus;37363.96169698861;427815.12550421874;9
