FID;date;species;n;X;Y
142;10-8-2009 0:00:00;Clupea harengus;4;50325.500000000000000;438991.000000000000000
143;11-8-2009 0:00:00;Clupea harengus;5;52659.800000000003000;432628.000000000000000
144;11-8-2009 0:00:00;Clupea harengus;2;53343.699999999997000;435064.000000000000000
145;11-8-2009 0:00:00;Clupea harengus;9;54686.699999999997000;434156.000000000000000
146;11-8-2009 0:00:00;Clupea harengus;8;55006.800000000003000;433391.000000000000000
147;11-8-2009 0:00:00;Clupea harengus;7;56965.699999999997000;433367.000000000000000
148;11-8-2009 0:00:00;Clupea harengus;14;57808.199999999997000;430357.000000000000000
149;12-8-2009 0:00:00;Clupea harengus;6;42340.800000000003000;424373.000000000000000
150;12-8-2009 0:00:00;Clupea harengus;4;45659.699999999997000;426420.000000000000000
151;12-8-2009 0:00:00;Clupea harengus;2;46638.099999999999000;431123.000000000000000
152;12-8-2009 0:00:00;Clupea harengus;8;50221.500000000000000;428362.000000000000000
153;12-8-2009 0:00:00;Clupea harengus;14;56111.699999999997000;429528.000000000000000
154;13-8-2009 0:00:00;Clupea harengus;17;55147.800000000003000;428959.000000000000000
155;14-8-2009 0:00:00;Clupea harengus;2;44583.800000000003000;429304.000000000000000
156;14-8-2009 0:00:00;Clupea harengus;8;53297.099999999999000;429820.000000000000000
157;18-8-2009 0:00:00;Clupea harengus;4;21732.400000000001000;412877.000000000000000
158;18-8-2009 0:00:00;Clupea harengus;3;23180.000000000000000;414451.000000000000000
159;18-8-2009 0:00:00;Clupea harengus;2;31524.400000000001000;417166.000000000000000
160;19-8-2009 0:00:00;Clupea harengus;1;17133.799999999999000;408579.000000000000000
161;20-8-2009 0:00:00;Clupea harengus;14;26658.500000000000000;409783.000000000000000
162;21-5-2010 0:00:00;Clupea harengus;3;56935.400000000001000;433365.000000000000000
163;21-5-2010 0:00:00;Clupea harengus;2;59960.900000000001000;434559.000000000000000
164;25-5-2010 0:00:00;Clupea harengus;3;56152.300000000003000;429560.000000000000000
165;26-5-2010 0:00:00;Clupea harengus;4;57848.099999999999000;430356.000000000000000
166;27-5-2010 0:00:00;Clupea harengus;1;45646.699999999997000;426455.000000000000000
167;27-5-2010 0:00:00;Clupea harengus;1;45630.500000000000000;423560.000000000000000
168;27-5-2010 0:00:00;Clupea harengus;1;48202.699999999997000;429879.000000000000000
169;27-5-2010 0:00:00;Clupea harengus;2;51983.900000000001000;433091.000000000000000
170;27-5-2010 0:00:00;Clupea harengus;4;53705.199999999997000;430333.000000000000000
171;28-5-2010 0:00:00;Clupea harengus;2;55085.900000000001000;428967.000000000000000
172;1-6-2010 0:00:00;Clupea harengus;2;50154.199999999997000;428341.000000000000000
173;1-6-2010 0:00:00;Clupea harengus;1;53316.400000000001000;429851.000000000000000
174;2-6-2010 0:00:00;Clupea harengus;3;36250.900000000001000;422338.000000000000000
175;2-6-2010 0:00:00;Clupea harengus;6;36970.599999999999000;421966.000000000000000
176;10-6-2010 0:00:00;Clupea harengus;4;36233.800000000003000;408291.000000000000000
177;2-8-2010 0:00:00;Clupea harengus;8;54995.599999999999000;433350.000000000000000
178;2-8-2010 0:00:00;Clupea harengus;13;56265.699999999997000;435375.000000000000000
179;2-8-2010 0:00:00;Clupea harengus;28;56985.400000000001000;433387.000000000000000
180;2-8-2010 0:00:00;Clupea harengus;15;57870.500000000000000;430195.000000000000000
181;3-8-2010 0:00:00;Clupea harengus;2;52063.000000000000000;433087.000000000000000
182;4-8-2010 0:00:00;Clupea harengus;13;56141.599999999999000;429544.000000000000000
183;4-8-2010 0:00:00;Clupea harengus;11;57865.099999999999000;430167.000000000000000
184;5-8-2010 0:00:00;Clupea harengus;11;48178.000000000000000;429916.000000000000000
185;5-8-2010 0:00:00;Clupea harengus;6;53371.300000000003000;436084.000000000000000
186;5-8-2010 0:00:00;Clupea harengus;5;53388.300000000003000;435058.000000000000000
187;5-8-2010 0:00:00;Clupea harengus;13;53686.599999999999000;430333.000000000000000
188;6-8-2010 0:00:00;Clupea harengus;5;44020.400000000001000;422377.000000000000000
189;6-8-2010 0:00:00;Clupea harengus;2;45667.300000000003000;426423.000000000000000
190;6-8-2010 0:00:00;Clupea harengus;4;45622.900000000001000;423594.000000000000000
191;6-8-2010 0:00:00;Clupea harengus;10;53352.900000000001000;429850.000000000000000
192;6-8-2010 0:00:00;Clupea harengus;12;55139.099999999999000;428938.000000000000000
193;9-8-2010 0:00:00;Clupea harengus;1;44626.099999999999000;429347.000000000000000
194;9-8-2010 0:00:00;Clupea harengus;2;46738.000000000000000;431152.000000000000000
195;11-8-2010 0:00:00;Clupea harengus;6;30258.299999999999000;417892.000000000000000
196;11-8-2010 0:00:00;Clupea harengus;9;34045.300000000003000;425493.000000000000000
197;11-8-2010 0:00:00;Clupea harengus;3;37788.900000000001000;425193.000000000000000
198;12-8-2010 0:00:00;Clupea harengus;2;29612.099999999999000;416422.000000000000000
199;12-8-2010 0:00:00;Clupea harengus;6;34947.800000000003000;423995.000000000000000
200;12-8-2010 0:00:00;Clupea harengus;4;36962.900000000001000;421935.000000000000000
201;13-8-2010 0:00:00;Clupea harengus;12;22203.900000000001000;413312.000000000000000
202;13-8-2010 0:00:00;Clupea harengus;3;23197.700000000001000;414466.000000000000000
203;13-8-2010 0:00:00;Clupea harengus;7;25391.900000000001000;410380.000000000000000
204;13-8-2010 0:00:00;Clupea harengus;5;26459.900000000001000;410651.000000000000000
205;13-8-2010 0:00:00;Clupea harengus;5;27803.900000000001000;410296.000000000000000
206;18-8-2010 0:00:00;Clupea harengus;4;21080.500000000000000;402632.000000000000000
207;18-8-2010 0:00:00;Clupea harengus;4;25282.700000000001000;406619.000000000000000
208;18-8-2010 0:00:00;Clupea harengus;4;28110.000000000000000;407281.000000000000000
209;16-5-2011 0:00:00;Clupea harengus;3;56138.400000000001000;429553.000000000000000
210;16-5-2011 0:00:00;Clupea harengus;1;57870.000000000000000;430167.000000000000000
211;16-5-2011 0:00:00;Clupea harengus;1;59858.400000000001000;433875.000000000000000
212;17-5-2011 0:00:00;Clupea harengus;1;54799.099999999999000;430307.000000000000000
213;17-5-2011 0:00:00;Clupea harengus;3;56973.099999999999000;433391.000000000000000
214;18-5-2011 0:00:00;Clupea harengus;1;51017.599999999999000;432300.000000000000000
215;18-5-2011 0:00:00;Clupea harengus;2;52712.199999999997000;432632.000000000000000
216;18-5-2011 0:00:00;Clupea harengus;2;53313.599999999999000;429849.000000000000000
217;18-5-2011 0:00:00;Clupea harengus;2;55016.500000000000000;433361.000000000000000
218;18-5-2011 0:00:00;Clupea harengus;2;55110.199999999997000;434570.000000000000000
219;18-5-2011 0:00:00;Clupea harengus;6;55119.800000000003000;428938.000000000000000
